product_name,product_url,product_price,rating,num_reviews,description,asin,manufacturer
DEIN KLEIDER Men's Nylon Messenger Bag,https://www.amazon.in/gp/bestsellers/luggage/2917442031/ref=sr_bs_7_2917442031_1,349,4.0,"5,284",,,
Half Moon Strike 35L Unisex Spacious School/Laptop/College/Office Travel Backpack Bag for Men Women Boys & Girls with 15.6 inch Padded Laptop Compartment & Multiple Pockets,https://www.amazon.in/Half-Moon-Spacious-Backpack-Compartment/dp/B0C23BYDML/ref=sr_1_105?crid=2M096C61O4MLT&keywords=bags&qid=1692653907&sprefix=ba%2Caps%2C283&sr=8-105,699,3.6,28,,,
Gear Parker 23L Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women - Black,https://www.amazon.in/Gear-Executive-Anti-Theft-Backpack-BKPPKREXE0101/dp/B097KCMQKG/ref=sr_1_106?crid=2M096C61O4MLT&keywords=bags&qid=1692653907&sprefix=ba%2Caps%2C283&sr=8-106,744,4.3,446,,,
"HARISSONS Bags Vervo 15.6-inch Laptop/Travel/Casual Backpack for Men and Women with Rain Cover (Black, 40 Ltrs) | Quick Access Zippered Pocket, Detailed Organizers & a Detachable Key Chain Holder",https://www.amazon.in/HARISSONS-15-6-inch-Backpack-Organizers-Detachable/dp/B07M5P5LW3/ref=sr_1_107?crid=2M096C61O4MLT&keywords=bags&qid=1692653907&sprefix=ba%2Caps%2C283&sr=8-107,"2,960",4.4,"2,015",,,
Gear Workspace 18L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women-Black,https://www.amazon.in/Gear-Workspace-Briefcase-Black-Red-BKPWRPHYD0101/dp/B097KGL2M5/ref=sr_1_108?crid=2M096C61O4MLT&keywords=bags&qid=1692653907&sprefix=ba%2Caps%2C283&sr=8-108,907,4.2,345,,,
COSMUS Vogue Casual Laptop Backpack with USB Charger Port 46cm 26 Litre College Bag,https://www.amazon.in/Cosmus-Casual-Backpack-Charger-College/dp/B09HX54TGF/ref=sr_1_109?crid=2M096C61O4MLT&keywords=bags&qid=1692653907&sprefix=ba%2Caps%2C283&sr=8-109,"1,409",4.2,"1,422",,,
Skybags VOXEL BACKPACK,https://www.amazon.in/Skybags-BPVOX22EGRN-VOXEL-BACKPACK-GREEN/dp/B0B3XY5TMK/ref=sr_1_110?crid=2M096C61O4MLT&keywords=bags&qid=1692653907&sprefix=ba%2Caps%2C283&sr=8-110,834,3.9,194,,,
"Storite Nylon 46 Cm Multi Purpose Travel Duffle Bag for Women with Dry and Wet Separate Pocket, Lightweight Waterproof Backpack Carry Luggage Bag with Shoe Compartment (GreenPink, 46x23x25 cm)",https://www.amazon.in/Storite-Travel-Bag-Lightweight-GreenPink/dp/B0B3JBYZ8C/ref=sr_1_111?crid=2M096C61O4MLT&keywords=bags&qid=1692653907&sprefix=ba%2Caps%2C283&sr=8-111,"1,399",4.2,377,,,
"Delrin LED Backpack with APP Working, Laptop Bag Motorcycle Riding Backpack Waterproof Backpack with Programmable and Color Screen, Travel Backpack 25 ltrs (48 Cms)",https://www.amazon.in/Delrin-Backpack-Motorcycle-Waterproof-Programmable/dp/B0CBSGG3LX/ref=sr_1_112?crid=2M096C61O4MLT&keywords=bags&qid=1692653907&sprefix=ba%2Caps%2C283&sr=8-112,"19,999",,M.R.P:,,,
Police Large Size Walt Laptop Backpack Business Office College Travel Bags For Men Fits Upto 15 Inch Laptop Notebook - Black,https://www.amazon.in/POLICE-Stylish-Premium-Quality-Backpack/dp/B084Q4N84P/ref=sr_1_161?crid=2M096C61O4MLT&keywords=bags&qid=1692653925&sprefix=ba%2Caps%2C283&sr=8-161,"1,689",4.1,667,,,
Nelle Harper Women's Handbag,https://www.amazon.in/Nelle-Harper-Womens-Sling-Green/dp/B07JGQM7DC/ref=sr_1_162?crid=2M096C61O4MLT&keywords=bags&qid=1692653925&sprefix=ba%2Caps%2C283&sr=8-162,959,3.7,"1,923",,,
LOOKMUSTER Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack…,https://www.amazon.in/LOOKMUSTER-Waterproof-Backpack-College-Business/dp/B0BS6YGKMC/ref=sr_1_163?crid=2M096C61O4MLT&keywords=bags&qid=1692653925&sprefix=ba%2Caps%2C283&sr=8-163,614,3.9,44,,,
"Genie Flamenco Laptop Backpack for Women, 16 inches Office Bag, Sky Blue Stylish and Trendy Bag for Office and College",https://www.amazon.in/Genie-Flamenco2-Backpack-Compatible-Resistant/dp/B08YF1XJXY/ref=sr_1_164?crid=2M096C61O4MLT&keywords=bags&qid=1692653925&sprefix=ba%2Caps%2C283&sr=8-164,803,4.4,"1,151",,,
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",https://www.amazon.in/FUR-JADEN-Backpack-Compartment-Organizer/dp/B0BYSZ3TKW/ref=sr_1_165?crid=2M096C61O4MLT&keywords=bags&qid=1692653925&sprefix=ba%2Caps%2C283&sr=8-165,799,4.4,121,,,
Skybags Unisex Grey Jacqard 34L Laptop Bags,https://www.amazon.in/Skybags-Unisex-Grey-Jacqard-Laptop/dp/B09ZV9SLBJ/ref=sr_1_166?crid=2M096C61O4MLT&keywords=bags&qid=1692653925&sprefix=ba%2Caps%2C283&sr=8-166,"1,248",4.1,85,,,
Dyazo Slim 15.6 inch Laptop Backpack Business Notebook computer bag suitable for office College School Men & Women,https://www.amazon.in/Dyazo-Backpack-Business-Notebook-computer/dp/B0C7HC675G/ref=sr_1_167?crid=2M096C61O4MLT&keywords=bags&qid=1692653925&sprefix=ba%2Caps%2C283&sr=8-167,599,4.4,8,,,
"Tabelito® DELTA Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Compatible with 15.6 inch Laptop) 30 L, (6 Month Warranty)",https://www.amazon.in/Tabelito%C2%AE-Delta-Waterproof-Backpack-Compatible/dp/B0BLK1Z7DQ/ref=sr_1_168?crid=2M096C61O4MLT&keywords=bags&qid=1692653925&sprefix=ba%2Caps%2C283&sr=8-168,599,4.4,198,,,
"ZEBRONICS Techshield A3, 23 Liters 2 Compartment Laptop Backpacks Fit Up to 15.6-inch Laptop Polyester Fabric Office Use and Mini Business Travel Bags (Black)",https://www.amazon.in/ZEBRONICS-Techshield-A3-Compartment-Backpacks/dp/B0C6QWBRSB/ref=sr_1_169?crid=2M096C61O4MLT&keywords=bags&qid=1692653925&sprefix=ba%2Caps%2C283&sr=8-169,846,5.0,6,,,
"Genie Moonlight Laptop Backpack for Women, 3 compartments, Water Resistant and Lightweight Bags for Office and Travelling Purpose. 36 litres. (19 inch) Black colour",https://www.amazon.in/Genie-Moonlight-compartments-Lightweight-Travelling/dp/B097PGGTNJ/ref=sr_1_170?crid=2M096C61O4MLT&keywords=bags&qid=1692653925&sprefix=ba%2Caps%2C283&sr=8-170,"1,004",3.0,4,,,
Wildcraft Turnaround Polyester 35 Ltrs Blue Laptop Bag (8903338054702),https://www.amazon.in/Wildcraft-Turnaround-Polyester-Laptop-8903338054702/dp/B012D51GXO/ref=sr_1_171?crid=2M096C61O4MLT&keywords=bags&qid=1692653925&sprefix=ba%2Caps%2C283&sr=8-171,"1,840",4.4,"1,222",,,
"Red Lemon Titan Ultrafit Plus Bange Series 15.6-inch Laptop Bags Backpacks for Men and Women55L Outdoor and Camping 3in1 Office Bags,Travelling,Backpack",https://www.amazon.in/Red-Lemon-Plus-Travelling-1908/dp/B082Y7TZ8Z/ref=sr_1_172?crid=2M096C61O4MLT&keywords=bags&qid=1692653925&sprefix=ba%2Caps%2C283&sr=8-172,"3,999",4.4,509,,,
"MOKOBARA Backpack 15.5"" Inch Laptop Backpack For Women (16 litres ) Improved (2022 - Model)",https://www.amazon.in/Mokobara-Backpack-litre-Brown-laptop/dp/B095PC3QPV/ref=sr_1_173?crid=2M096C61O4MLT&keywords=bags&qid=1692653925&sprefix=ba%2Caps%2C283&sr=8-173,"4,799",4.2,204,,,
"Glowic Canvas Grocery, Travel, Beach | Shoulder Handbags Women, College Bags for Girls Stylish Trendy(WBAG-50)",https://www.amazon.in/Glowic-Grocery-Shoulder-Handbags-WBAG-50/dp/B09YRWZBW8/ref=sr_1_174?crid=2M096C61O4MLT&keywords=bags&qid=1692653925&sprefix=ba%2Caps%2C283&sr=8-174,519,3.6,274,,,
"MOKOBARA The Work Backpack 15.6"" Inch Laptop | Travel Backpack For Men And Women",https://www.amazon.in/Mokobara-Backpack-Leather-Resistant-Laptop/dp/B0B7X8BYQJ/ref=sr_1_175?crid=2M096C61O4MLT&keywords=bags&qid=1692653925&sprefix=ba%2Caps%2C283&sr=8-175,"7,499",4.6,102,,,
"Tabelito® NEXA 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook. (GREY)",https://www.amazon.in/Tabelito-NEXA-Backpack-Business-Compartment/dp/B0C2D4KWQ6/ref=sr_1_176?crid=2M096C61O4MLT&keywords=bags&qid=1692653925&sprefix=ba%2Caps%2C283&sr=8-176,399,4.2,115,,,
